,products name
0,"Spigen 10000 mAh Wireless Power Bank (20 W, Fast Chargi..."
1,ERD 10000 mAh Power Bank (Power Delivery 2.0)
2,"conekt 10000 mAh Power Bank (12 W, Fast Charging)"
3,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)"
4,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)"
5,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)"
6,"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)"
7,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)"
8,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)"
9,"realme 20000 mAh Power Bank (18 W, Quick Charge 2.0)"
10,"Mi 30000 mAh Power Bank (18 W, Fast Charging, Power Del..."
11,"SWISS MILITARY 10000 mAh Wireless Power Bank (18 W, Fas..."
12,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P..."
13,Syska 10000 mAh Power Bank
14,"realme 20000 mAh Power Bank (18 W, Quick Charge 2.0)"
15,SWISS MILITARY 10000 mAh Wireless Power Bank (Fast Char...
16,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P..."
17,"realme 10000 mAh Power Bank (18 W, Quick Charge 3.0)"
18,"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)"
19,"MAXIMILION 30000 mAh Power Bank (18 W, Fast Charging, Q..."
20,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)"
21,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)"
22,Pomics 30000 mAh Power Bank
23,Croma 10000 mAh Power Bank
24,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)"
25,FIGER 32500 mAh Power Bank
26,"MAXIMILION 30000 mAh Power Bank (18 W, Fast Charging, Q..."
27,"MAXIMILION 30000 mAh Power Bank (18 W, Fast Charging, Q..."
28,"realme 10000 mAh Power Bank (18 W, Quick Charge 3.0)"
29,"REDMI 20000 mAh Power Bank (18 W, Fast Charging)"
30,FIGER 32500 mAh Power Bank
31,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, P..."
32,"Ambrane 27000 mAh Power Bank (18 W, Fast Charging)"
33,"Croma 10000 mAh Power Bank (18 W, Fast Charging)"
34,Syska 5000 mAh Power Bank
35,"ZEBRONICS 10000 mAh Power Bank (20 W, Fast Charging)"
36,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P..."
37,PoMiFi 30000 mAh Power Bank
38,"MIOX 50000 mAh Power Bank (20 W, Fast Charging)"
39,"Ambrane 10000 mAh Power Bank (20 W, Quick Charge 3.0, P..."
